"filename","company_name","employees_count","bus_count","route_count","contract_duration","tender_number","region_city","bus_capacity","work_schedule","has_glonass","has_conditioner","has_medical_check","has_security_requirements","has_driver_requirements","text_preview","segment"
"Ozon","","","","","","","","","круглосуточной","да","","","","","Предмет закупки: Услуги пассажирских перевозок Описание услуги: Фрахтователь поручает, а Фрахтовщик организует предоставление транспорта для осуществления пассажирских перевозок в соответствии с Заказ","IT/Услуги"
"АвтоВАЗ","","","","","","","","","","","","","","","","Промышленность"
"Байон","","","","","","","","","график","да","да","да","","да","ТЕХНИЧЕСКОЕ ЗАДАНИЕ на оказания услуг по доставке сотрудников пассажирским транспортом ЛОТы. информация по маршрутам (см. Приложение №1 к ТЗ)  Общие сведения:  Услуги по доставке сотрудников; Обеспеч","IT/Услуги"
"Госкорпорация по ОрВД","ФГУП «Го","12","","","","","Ставрополь","","ежедневном","да","","да","да","","ИЗВЕЩЕНИЕ ОБ ОСУЩЕСТВЛЕНИИ ЗАКУПКИ ДОКУМЕНТАЦИЯ О ЗАКУПКЕ  ИЗВЕЩЕНИЕ ОБ ОСУЩЕСТВЛЕНИИ ЗАКУПКИ   ДОКУМЕНТАЦИЯ О ЗАКУПКЕ Общие положения Информационная карта    Проект договора ДОГОВОР № ___________ Ока","Госсектор"
"Деловые Линии","ГК ""Де","","","","","4369298","Не","","","","","","","","27.05.2026, 20:10 Конкурс на оказание транспортных услуг по перевозке сотрудников ГК ""Деловые Линии"" для РЦ Валищево и ОСП Мытищи на 12 … Центр электронных торгов Перевозки Конкурс на оказание транспо","Транспорт/Перевозки"
"ИДС Святой источник — Боржоми","","","","","","","Химки","","смены","","","","","","Направления маршрутов № Город проживания сотрудника Точка отправления Точка прибытия Время начала/окончания смены Маршрут №1 г. Химки до места работы Маршрут №2 Транспортные услуги","Торговля/Производство"
"ИЭК Холдинг","АО ""ИЭ","","","","","3552328","Москва","","","","","","","","27.05.2026, 21:59 корпоративные автобусные перевозки — Тендер № 3552328 — Москва — АО ""ИЭК ХОЛДИНГ"" — B2B-Center Центр электронных торгов Все сервисы Войти Зарегистрироваться Поиск Участники Закупщика","Торговля/Производство"
"КПО Егорьевск","","","","","","","","","","","","","","","","Торговля/Производство"
"Казанский жировой комбинат","АО КА","","","","","","","","","","","","","","Перевозкапассажировпомаршруту фрахтованиеТС Выберите метку Инойспособ Завершено Татарстан Ценаконтракта Обеспечениезаявки Обеспечениеконтракта не установлена не требуется не требуется Заказчик АО КАЗА","Торговля/Производство"
"Капстрой","ООО «СА","17","","","","","Переченьработ Срок","","","да","да","","","","Техническое задание на оказание автотранспортных услуг (фрахтования)для ООО «САЛАВАТИНВЕСТ» на 2027 год. 1. Задание на выполнение работ № Наименование услуг Переченьработ Срок выполнения Перевозкапасс","Строительство"
"Литум","","17","","","","","","","","","","","","","Будни -понедельник -пятница Рейс 1 (17 человек) Рейс 1  № № Остановочный пункт 1 06:55:00 1 06:30:00 7 мкрн 2 07:00:00 2 06:35:00 Художественная школа 3 07:01:00 3 06:45:00 Рынок 9 4 07:03:00 4 06:50:","Торговля/Производство"
"МАКФА","АО ""МА","","","","","","Место","","понедельника по воскресенье","","","да","","","Приложение №1 к Документации о закупке    Техническое задание на оказание услуг фрахтования автобусов для перевозки пассажиров по маршрутам №2 и №3 в Челябинской области.  Объект закупки: оказание усл","Промышленность"
"МБ Рус","","","","","","","","","смены","","","","","","Поля, выделенные желтым цветом, заполняются участником запроса  Маршрут Стоимость 1 смены без НДС 1 смена* - два рейса, утренний рейс на завод к 7:00, вечерний рейс с завода в 16:00. График 5/2 (с пон","Промышленность"
"Метро Кэш энд Керри","ООО ""МЕ","","","","","3282870","Москва","","","","","","","","27.05.2026, 22:00 Тендерплан — система поиска тендеров Анализ рынка корпоративных пассажирских перевозок Выберите метку Предварительный отбор Завершено B2B-Center Москва Цена контракта Обеспечение зая","Торговля/Производство"
"Невский экологический оператор","АО «Не","","","","","","Санкт-Петербург","","ежедневный","","","да","да","","ТЕХНИЧЕСКОЕ ЗАДАНИЕ на оказание услуг по фрахтованию транспортных средств для перевозки работников КПО «Островский» для нужд АО «Невский экологический оператор»     1. Наименование услуг (номенклату","Торговля/Производство"
"Почта России — Московская область","","","","","","","Москва","","круглосуточные","да","","да","да","","Техническое задание  на оказание услуг по фрахтованию транспортных средств для перевозки пассажиров по заявкам ОСП МРАСЦ им. В.Н. Бугаенко УФПС Московской области","Логистика/Почта"
"Почта России — Татарстан","","","","1","услуг: в течение 6 месяц","","Пункты","","","да","","да","да","","Часть III. ТЕХНИЧЕСКАЯ ЧАСТЬ ДОКУМЕНТАЦИИ                                                                                                                     ТЕХНИЧЕСКОЕ ЗАДАНИЕ  на оказание услуг","Логистика/Почта"
"Продо","","","","","","","","","","","","","","","","Торговля/Производство"
"РМИ-Сталь","АО «ГК","","","","","","Оказание","","график","да","","да","","да","ТЕХНИЧЕСКОЕ ЗАДАНИЕ на оказание услуг по предоставлению автобуса с водителем для пассажирских перевозок    Цель и задачи оказания услуг. Оказание услуг по предоставлению автобуса с водителем для пасса","Промышленность"
"РН-Проектирование Добыча","ООО «РН","","","","","","Оказание","","график","да","","","да","да","Техническое задание на оказание транспортных услуг по перевозке  пассажиров Красноярского филиала ООО «РН-Проектирование Добыча»  в 2027-2029гг (Таймырский Долгано-Ненецкий автономный округ, объекты э","Промышленность"
"Росатом — Изоплит","","","","","","","","","","","","","","","","Госсектор"
"Россети НТЦ","АО «Ро","","","","услуги: 12 месяц","","Новосибирск","","График","","","да","","","ТЕХНИЧЕСКОЕ ЗАДАНИЕ на перевозку сотрудников филиала АО «Россети Научно-технический центр» - СибНИИЭ.  Место оказания услуги: г. Новосибирск.  Срок оказания услуги: 12 месяцев с момента подписания дог","Госсектор"
"СДЭК-Глобал","ООО «СД","17","","","услуг в течение 1 (одн","","Москва","","график","","да","да","","","ТЕХНИЧЕСКОЕ ЗАДАНИЕ на услуги фрахтования автобуса для перевозки работников от мест проживания на работу и обратно    Заказчик: 	ООО  «СДЭК-Глобал»                            Разработчик:  Инже","Логистика/Почта"
"Спартак","","","","","","","Таблица","","","","","","","","Приложение №2 к Положению о закупках товаров, работ и  услуг в Группе «СПАРТАК» 	 ТЕХНИЧЕСКОЕ ЗАДАНИЕ для Конкурса * поля, обязательные для заполнения.   Приложение. Таблица №1. Перечен","Промышленность"
"Стройтранснефтегаз","АО «СТ","","","","","","Предметом","","понедельника по пятницу","","","","","","ТЕХНИЧЕСКОЕ ЗАДАНИЕ на оказание транспортных услуг с водителем (такси).  ОБЩИЕ ТРЕБОВАНИЯ Наименование услуг Предметом закупочной процедуры является запрос цен на оказание транспортных услуг с води","Строительство"
"Трансинжстрой","","","","","","","","","","","","","","","","Строительство"
"Трубная металлургическая компания","АО «ПН","","","","","","","","","","","","","","Приложение 1  Расписание автобуса по маршрутам Маршруту:  7/1 ул. Емлина – КПП №5 на АО «ПНТЗ»  Маршруту: 7/1 КПП №5 - Стоматология с АО «ПНТЗ»","Промышленность"
"Трэвел Строй","","","","","","","","","","","","","","","","Строительство"
"Фаберлик","АО ""ФА","","","","","4247840","Не","","","","","","","","27.05.2026, 20:21 Перевозка корпоративным транспортом сотрудников (РРЦ Пушкин) — Тендер № 4247840 — Ленинградская область — АО ""ФАБЕ… Центр электронных торгов Перевозки Перевозка корпоративным транспо","Торговля/Производство"
"Хадасса Медикал","","19","","","","","","","","","","","","","Время отправления Точка отправления Точка прибытия Маршрут №1 07:05:00 МЦД Сколково Хадасса Медикал (Большой бульвар, 46с1) Маршрут №2 07:20:00 МЦД Сколково Хадасса Медикал (Большой бульвар, 46с1) Мар","Транспорт/Перевозки"
"Экоальянс","АО «ТВ","","","","","","Новоуральск","19","График","да","","","","да","ОРГАНИЗАЦИЯ АО «ТВЭЛ» Общество с ограниченной ответственностью «Экоальянс» (ООО «Экоальянс») Утверждаю: Генеральный директор ООО «Экоальянс» Т.А. Пекарский Техническое задание Фрахтование для автобусн","Торговля/Производство"
"Эрманн","ООО ""ЭР","","","","","3988068","Ступино","","","","","","","","27.05.2026, 20:38 Перевозка корпоративных сотрудников — Тендер № 3988068 — ООО ""ЭРМАНН"" — B2B-Center Центр электронных торгов Все сервисы Войти Зарегистрироваться Поиск Участники Закупщикам Тарифы Эле","IT/Услуги"
