status,company,segment
"Есть признаки","Ozon","IT/Услуги"
"Есть признаки","Байон","IT/Услуги"
"Есть признаки","Госкорпорация по ОрВД","Госсектор"
"Есть признаки","Деловые Линии","Транспорт/Перевозки"
"Есть признаки","ИДС Святой источник — Боржоми","Торговля/Производство"
"Есть признаки","ИЭК Холдинг","Торговля/Производство"
"Есть признаки","Казанский жировой комбинат","Торговля/Производство"
"Есть признаки","Капстрой","Строительство"
"Есть признаки","Литум","Торговля/Производство"
"Есть признаки","МАКФА","Промышленность"
"Есть признаки","МБ Рус","Промышленность"
"Есть признаки","Метро Кэш энд Керри","Торговля/Производство"
"Есть признаки","Невский экологический оператор","Торговля/Производство"
"Есть признаки","Почта России — Московская область","Логистика/Почта"
"Есть признаки","Почта России — Татарстан","Логистика/Почта"
"Есть признаки","РМИ-Сталь","Промышленность"
"Есть признаки","РН-Проектирование Добыча","Промышленность"
"Есть признаки","Россети НТЦ","Госсектор"
"Есть признаки","СДЭК-Глобал","Логистика/Почта"
"Есть признаки","Спартак","Промышленность"
"Есть признаки","Стройтранснефтегаз","Строительство"
"Есть признаки","Трубная металлургическая компания","Промышленность"
"Есть признаки","Фаберлик","Торговля/Производство"
"Есть признаки","Хадасса Медикал","Транспорт/Перевозки"
"Есть признаки","Экоальянс","Торговля/Производство"
"Есть признаки","Эрманн","IT/Услуги"
"Нет признаков","АвтоВАЗ","Промышленность"
"Нет признаков","КПО Егорьевск","Торговля/Производство"
"Нет признаков","Продо","Торговля/Производство"
"Нет признаков","Росатом — Изоплит","Госсектор"
"Нет признаков","Трансинжстрой","Строительство"
"Нет признаков","Трэвел Строй","Строительство"
