word,count
"услуг",351
"московская",339
"область",316
"договора",230
"пассажиров",147
"соответствии",123
"требования",121
"оказания",120
"исполнитель",113
"чехов",112
"маршрут",105
"услуги",101
"перевозки",88
"менее",88
"серпухов",86
"транспортных",84
"средства",82
"исполнения",80
"случае",78
"старое",78
"симферопольское",74
"средств",71
"работы",69
"быть",68
"следования",67
"стороны",65
"транспорта",64
"подольск",63
"договору",62
"движения",61
"течение",61
"отправления",61
"район",60
"закупки",59
"мест",59
"безопасности",57
"казань",57
"остановок",57
"заказчика",56
"документов",56
"рейс",56
"количество",55
"время",55
"российской",54
"сотрудников",54
"транспортного",53
"автобуса",53
"трассе",53
"ymapsbm",53
"срок",52
"будет",52
"приложение",51
"оказанных",51
"дней",50
"заполняется",50
"контрагентом",50
"ftransit",50
"fstop",50
"федерации",49
"технического",47
"маршруту",47
"обязательств",47
"оказание",46
"заключения",46
"заказчику",46
"более",46
"действия",45
"наличие",45
"после",45
"перевозок",44
"поворот",44
"работ",43
"завод",43
"обязан",42
"условия",40
"должны",40
"водителей",40
"этом",40
"фрахтовщика",40
"молоди",40
"маршруте",39
"законодательством",39
"лаишевский",39
"работников",38
"обеспечить",38
"фрахтовщик",38
"обеспечения",38
"ближние",38
"прудищи",38
"заказчиком",37
"цены",37
"банковской",37
"согласно",36
"задания",36
"адрес",36
"фрахтователя",36
"заявки",36
"настоящему",35
"договоре",34
"остановка",34
